reg_season_Age,reg_season_G,reg_season_GS,reg_season_AS,reg_season_MP,reg_season_FG,reg_season_FGA,reg_season_2P,reg_season_2PA,reg_season_3P,reg_season_3PA,reg_season_FT,reg_season_FTA,reg_season_ORB,reg_season_DRB,reg_season_TRB,reg_season_AST,reg_season_STL,reg_season_BLK,reg_season_TOV,reg_season_PF,reg_season_PTS,reg_season_FG%,reg_season_2P%,reg_season_3P%,reg_season_FT%,reg_season_TS%,reg_season_eFG%,reg_season_Pos,reg_season_WS,reg_season_ORtg,reg_season_DRtg,reg_season_OWS,reg_season_DWS,reg_season_WS/48,reg_season_OBPM,reg_season_DBPM,reg_season_BPM,reg_season_VORP,reg_season_PER,reg_season_ORB%,reg_season_DRB%,reg_season_TRB%,reg_season_AST%,reg_season_STL%,reg_season_BLK%,reg_season_TOV%,reg_season_USG%,Player_Cleaned,Salary,Adjusted Salary
27,79,68,0,25.9,3.7,9.2,0.7,1.3,2.9,7.9,0.6,0.8,0.3,2.3,2.6,1.6,0.5,0.2,0.8,2.5,10.9,0.399,0.569,0.372,0.836,0.573,0.559,G-F,3.9,113.0,112,1.9,2.0,0.092,-0.3,-0.3,-0.6,0.7,10.6,1.4,9.8,5.6,9.3,1.0,0.7,7.4,17.7,duncanrobinson,15650000.0,17067852.0
27,72,72,0,35.3,7.1,17.3,5.4,11.9,1.7,5.4,4.2,5.6,1.7,8.2,9.9,5.1,0.7,0.5,3.4,2.8,20.1,0.411,0.458,0.308,0.756,0.509,0.459,F-C,3.1,102.0,109,-0.3,3.4,0.059,0.4,0.2,0.5,1.6,15.7,5.2,25.5,15.1,25.1,1.0,1.5,14.7,28.7,juliusrandle,19800000.0,21593832.0
28,45,41,0,32.4,6.2,13.4,3.8,7.8,2.4,5.6,4.2,5.2,0.4,2.8,3.2,2.1,0.9,0.5,1.5,2.4,19.0,0.461,0.491,0.419,0.811,0.603,0.549,G,2.8,116.0,119,2.4,0.4,0.093,1.2,-1.5,-0.3,0.6,16.3,1.5,9.7,5.4,10.8,1.4,1.4,8.9,23.1,normanpowell,15517242.0,16923066.0
30,82,71,0,21.9,3.3,4.9,3.1,4.4,0.2,0.5,2.0,2.6,2.1,2.8,4.9,1.2,0.5,0.5,0.8,2.7,8.7,0.671,0.703,0.351,0.783,0.725,0.687,F-C,8.2,142.0,110,6.0,2.2,0.219,0.4,0.5,0.9,1.3,18.1,10.7,14.3,12.5,8.1,1.0,2.0,11.5,14.0,dwightpowell,11080125.0,12083957.0
26,51,51,0,29.0,6.9,15.0,5.4,10.1,1.5,4.9,4.9,5.6,2.0,6.1,8.1,2.3,0.7,1.6,1.6,2.7,20.2,0.459,0.532,0.31,0.867,0.577,0.51,F-C,5.6,116.0,107,3.2,2.4,0.18,3.3,0.6,3.9,2.2,23.7,7.7,23.1,15.4,13.7,1.3,5.0,8.3,29.5,kristapsporzingis,31650600.0,34518067.0
26,72,59,0,28.2,5.8,12.1,3.9,7.4,1.8,4.7,1.2,1.6,2.5,6.6,9.1,1.2,0.7,0.7,1.3,2.4,14.6,0.479,0.533,0.393,0.752,0.571,0.555,F,5.5,115.0,110,2.9,2.6,0.131,1.2,-1.0,0.2,1.1,17.7,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,bobbyportis,4347600.0,4741482.0
21,61,61,0,31.3,5.5,13.2,3.0,6.5,2.5,6.8,2.0,3.2,0.7,3.7,4.4,6.2,1.1,0.4,3.1,2.6,15.6,0.415,0.456,0.375,0.642,0.531,0.511,G,0.8,103.0,117,0.0,0.8,0.021,-0.1,-1.6,-1.6,0.2,13.5,2.5,13.0,7.7,30.7,1.7,1.0,17.7,24.1,kevinporter,1782621.0,1944122.0
22,76,51,0,30.0,6.2,13.9,3.5,6.3,2.8,7.6,3.2,3.5,0.4,3.0,3.4,4.0,0.8,0.3,2.5,2.7,18.5,0.448,0.55,0.364,0.925,0.598,0.548,G,6.0,112.0,110,3.1,2.9,0.126,1.3,-0.3,1.0,1.7,16.1,1.7,10.5,6.2,21.0,1.3,1.0,13.7,26.0,jordanpoole,2161440.0,2357261.0
31,73,73,0,24.6,2.8,4.4,2.8,4.4,0.0,0.0,0.9,2.3,2.4,5.3,7.7,3.1,0.8,0.7,1.4,3.1,6.5,0.641,0.645,0.0,0.392,0.603,0.641,C-F,4.7,122.0,111,2.7,2.0,0.127,-1.5,1.5,0.0,0.9,14.7,10.2,23.3,16.7,16.4,1.6,2.7,20.2,11.7,masonplumlee,9248333.0,10086209.0
36,65,65,1,32.9,5.6,11.3,4.6,8.3,1.0,3.1,2.6,3.1,0.3,4.0,4.4,10.8,1.9,0.3,2.4,2.1,14.7,0.493,0.559,0.317,0.837,0.581,0.536,G,9.4,124.0,107,5.8,3.6,0.21,3.1,2.3,5.4,4.0,20.8,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,chrispaul,30800000.0,33590405.0
